line,arm,step,slice,n_items,k,pass_at_k_,pass_at_k_lo,pass_at_k_hi,best_reward_at_k_,best_reward_at_k_lo,best_reward_at_k_hi
3b,base,0,category:CAD,261,128,0.5194676180195469,0.46736511357022875,0.576682238235704,2.0163371688338283,1.9639228056817857,2.074158773619047
3b,base,0,category:Creative,341,1,0.1319991752199413,0.10731519771810846,0.1579241889662756,1.4678938518208628,1.4330394771837969,1.5065603812061417
3b,base,0,category:Creative,341,2,0.19120249847920526,0.1596678392896597,0.22369817652140442,1.6114841361777732,1.5751765632836163,1.6498969188753558
3b,base,0,category:Creative,341,4,0.2525885174722715,0.215869108759173,0.29070968815695875,1.7096265070266068,1.6681877129223501,1.7508781130186655
3b,base,0,category:Creative,341,8,0.31049918910077723,0.26888919395328725,0.3524439724772083,1.7829113095657734,1.7380561008594015,1.8249712592537282
3b,base,0,category:Creative,341,16,0.36566753713124767,0.32112645968405046,0.40886454957598056,1.8460397145930052,1.7980340909382615,1.890231783590796
3b,base,0,category:Creative,341,32,0.42215895660941405,0.3757340439424984,0.4666107164077363,1.9076500777337484,1.8601691579784387,1.952942293655466
3b,base,0,category:Creative,341,64,0.48144030396000315,0.43377551799035197,0.5296310725362142,1.9705099417631404,1.9221345455201584,2.0191726786641455
3b,base,0,category:Creative,341,128,0.5400883439074948,0.49272947037917725,0.5891171734039886,2.0318335648505546,1.9826901729269502,2.082154419320922
3b,base,0,category:Dev,299,1,0.10527278428093644,0.08057457148829429,0.12952860446279257,1.4843173496114987,1.4520866559344072,1.5160042614008564
3b,base,0,category:Dev,299,2,0.15128678786594582,0.12085762025673476,0.18166979743101594,1.593851838270405,1.5596549436701113,1.6283572736631635
3b,base,0,category:Dev,299,4,0.20376987654311363,0.1686997278134932,0.2415088876540144,1.6721643807440543,1.6348641431094424,1.7104757154864856
3b,base,0,category:Dev,299,8,0.26061310611267,0.2216889570499424,0.30337091501610935,1.7407105143004105,1.7006082616918121,1.7857853765684903
3b,base,0,category:Dev,299,16,0.3201728664259019,0.2796849400343743,0.36680989202416847,1.8067214259081037,1.7657974459159043,1.8565411808848706
3b,base,0,category:Dev,299,32,0.38207100175799263,0.34115541169644636,0.432926668314768,1.872536476381173,1.829373396651799,1.923949547944773
3b,base,0,category:Dev,299,64,0.44268896590779166,0.3980518716438135,0.49478207418528347,1.9356814735868775,1.8890154915336554,1.9882364103947188
3b,base,0,category:Dev,299,128,0.4962799458956134,0.4487009650448798,0.5523211846092142,1.9909959614615362,1.9426187574699798,2.047860932932768
3b,base,0,category:OS,196,1,0.07324218749999999,0.05271344866071426,0.0962051080197704,1.3495598311701977,1.3111587519699075,1.3890385100031157
3b,base,0,category:OS,196,2,0.11602439257258672,0.08571324924523992,0.14971355135207817,1.4963368165636157,1.4574325306305556,1.5393552052235997
3b,base,0,category:OS,196,4,0.16783282285509732,0.12801252905034552,0.20985046053173836,1.5980159051041258,1.5537823621732025,1.6463978570898525
3b,base,0,category:OS,196,8,0.22241664230686556,0.1761963053442179,0.2687822706274874,1.6775336664138087,1.6267508039098266,1.728771754692344
3b,base,0,category:OS,196,16,0.2759066224554677,0.22239154450441334,0.32812192439135945,1.7449246944709214,1.6874539578086705,1.7989834745744506
3b,base,0,category:OS,196,32,0.3270426740055,0.26950574773103,0.3822439705340448,1.8048440725156976,1.7456981468736492,1.8627188834112145
3b,base,0,category:OS,196,64,0.3778483470613149,0.32050733637245615,0.4356804078612177,1.8616935960282692,1.8039310432905806,1.9216327651903247
3b,base,0,category:OS,196,128,0.4306765020381924,0.3704052966010184,0.4900361575266488,1.9187568287669339,1.8568729701131934,1.9801112893930575
3b,base,0,category:Office,230,1,0.21466542119565207,0.17719853940217387,0.2539166525135869,1.6250808161105599,1.5821635217531749,1.6710479861265517
3b,base,0,category:Office,230,2,0.29581878695864877,0.25040871213732663,0.3441217360394686,1.75712049711286,1.7078209980755998,1.8074856679041449
3b,base,0,category:Office,230,4,0.3746334475454723,0.3235137032345772,0.4285448462700695,1.8538771463491088,1.798989047013388,1.9100855896598634
3b,base,0,category:Office,230,8,0.4476998043358641,0.39387188890817393,0.5036861227958223,1.9353185168844096,1.880182472472461,1.993527371881779
3b,base,0,category:Office,230,16,0.5185464164481349,0.4628037072032813,0.5733437316111487,2.011094630485308,1.9546110102435392,2.0683118653584707
3b,base,0,category:Office,230,32,0.5852320605081256,0.5305433772314428,0.6397397701946815,2.08064264387859,2.0253744480676508,2.1348301100037337
3b,base,0,category:Office,230,64,0.6435441537623431,0.5885152018636332,0.6969792105534738,2.1404885689444826,2.0843925352990453,2.19438215252574
3b,base,0,category:Office,230,128,0.6919458472392265,0.636268835773252,0.7447481383139062,2.1897297856865534,2.13380904683277,2.243454188745697
3b,base,0,category:Scientific,254,1,0.2106760580708661,0.1754705954724409,0.2473242571973425,1.5344363287250895,1.4869663529558468,1.5799196129240214
3b,base,0,category:Scientific,254,2,0.2905743909579795,0.24608254609828842,0.3372810292174522,1.7097424641411105,1.6574630908046766,1.7619743237929462
3b,base,0,category:Scientific,254,4,0.36220302798899884,0.3122539740358236,0.41474605504909723,1.8206276642941643,1.7671277544021935,1.8768230137153044
3b,base,0,category:Scientific,254,8,0.4226412933699468,0.3692983436229242,0.4794104493952964,1.9000146610882662,1.8455903829689653,1.9568647356933249
3b,base,0,category:Scientific,254,16,0.4752273454713255,0.4208854242281791,0.5319997288897772,1.9630311337500326,1.906002758929836,2.020462584981591
3b,base,0,category:Scientific,254,32,0.5230245690189013,0.46658188747899176,0.5770683367273177,2.016164747316934,1.959232031242395,2.072729343283768
3b,base,0,category:Scientific,254,64,0.5684261555528659,0.5123594492871374,0.6225739537174823,2.064213631770103,2.006624406400211,2.119140337282666
3b,base,0,category:Scientific,254,128,0.6112780707659956,0.5540211827785249,0.6645003170694436,2.108514517496785,2.0512853091266474,2.161566024799555
3b,base,0,ui_type:icon,604,1,0.03213602028145693,0.023862482538286402,0.04224190617239236,1.3261694905171035,1.3079758210241623,1.344207554779722
3b,base,0,ui_type:icon,604,2,0.049989821910518255,0.038353291750062364,0.0633629607452275,1.440339255360719,1.423065692858862,1.4585054544324758
3b,base,0,ui_type:icon,604,4,0.07283223109203202,0.05850514441955653,0.08970285046520202,1.5094455852081383,1.4916054529522478,1.5293794424139153
3b,base,0,ui_type:icon,604,8,0.1014444598267189,0.08424077127235992,0.12158673606155211,1.561739389332725,1.5422294196835558,1.583670940269761
3b,base,0,ui_type:icon,604,16,0.1375838541233821,0.1169748324699439,0.16033273778159138,1.6112944464227164,1.5891812893876394,1.6355961196930875
3b,base,0,ui_type:icon,604,32,0.18297896010000275,0.15938061131575104,0.20954036074375276,1.6646568830117643,1.6394828505203087,1.692327943340092
3b,base,0,ui_type:icon,604,64,0.23699443686467797,0.21070204731558362,0.2665184120025064,1.7236153245757637,1.6956433024590258,1.7543645566888852
3b,base,0,ui_type:icon,604,128,0.295598780985584,0.26662145479608357,0.32673882970498147,1.7855554755600533,1.7550583514909803,1.8185614535855033
3b,base,0,ui_type:text,977,1,0.20813675473387921,0.19038090935260998,0.22618217038766628,1.5958301933934735,1.5748254578764826,1.6170407870894628
3b,base,0,ui_type:text,977,2,0.2936785924602451,0.2719204806031633,0.31622195956798427,1.7504819774524123,1.7265717923675574,1.773955409671657
3b,base,0,ui_type:text,977,4,0.3787052733188399,0.3537176457761297,0.40267342110951393,1.8585487791309423,1.8318073855922437,1.8838938628677244
3b,base,0,ui_type:text,977,8,0.4570293845403156,0.429773357890295,0.4830432228449697,1.9452773203231477,1.917629753911595,1.9719564742131899
3b,base,0,ui_type:text,977,16,0.5286001906303958,0.5007890444326847,0.555514547075528,2.0210061551956757,1.9921595049468992,2.0486350483030327
3b,base,0,ui_type:text,977,32,0.5937918683461462,0.5652202770362726,0.6212316068743277,2.088602471758953,2.059453263912011,2.116779219198334
3b,base,0,ui_type:text,977,64,0.652725722610922,0.6253127350744346,0.6789321558827818,2.149019830388271,2.121186361066908,2.1754498365780415
3b,base,0,ui_type:text,977,128,0.7046284369724911,0.6777608441881673,0.7289183420184825,2.201871451902564,2.17510372344694,2.2265669062847
3b,tailrl,100,overall,1581,1,0.23970069378557876,0.22281910306965527,0.2571659056767868,1.6590385824418556,1.638301893304798,1.6800368542824302
3b,tailrl,100,overall,1581,2,0.29243752986170163,0.2736468797983731,0.31208603732588924,1.7388031603911047,1.7176439421493528,1.7613137022574554
3b,tailrl,100,overall,1581,4,0.34113308434930995,0.3211945672374007,0.3619528006811716,1.802523117130352,1.7815240563720545,1.8250929314622915
3b,tailrl,100,overall,1581,8,0.3854243044885238,0.36499105334561643,0.40718901156322973,1.8562363649798042,1.834109276952195,1.8795643464867975
3b,tailrl,100,overall,1581,16,0.42714828588765075,0.4059975603792266,0.449317917952788,1.9043779976932167,1.881440771203729,1.9272192534198138
3b,tailrl,100,overall,1581,32,0.4684679031150921,0.44679468105247216,0.49167603568862356,1.9501767786576656,1.928319094168873,1.9728883933977552
3b,tailrl,100,overall,1581,64,0.5102181879164018,0.4873280470019128,0.5327354912922161,1.9949528169979212,1.9713693123720082,2.0181819646832557
3b,tailrl,100,overall,1581,128,0.5511459990781091,0.5280551867935538,0.5736024302982883,2.037795739550507,2.013631074291203,2.0608348970837036
3b,tailrl,100,category:CAD,261,1,0.17920108955938696,0.1392437814295977,0.22571502334770116,1.600609654352871,1.5544963770863687,1.6501529083045243
3b,tailrl,100,category:CAD,261,2,0.2223597322037774,0.1792574979404256,0.27103387018753133,1.6780667738281032,1.6309109171986174,1.7289359542498277
3b,tailrl,100,category:CAD,261,4,0.2655680779245541,0.22030969171575562,0.3164366711610451,1.7366537218713474,1.6891802230436488,1.788497595257715
3b,tailrl,100,category:CAD,261,8,0.3096470254613422,0.2610365949090098,0.3623944471236132,1.7890468402797735,1.7376796522763642,1.8433559416633354
